ID,Mass,Bfld,Type
1,558791700000.0,1.5877304,Pre-Infall
3,171551460000.0,2.3065846,Pre-Infall
5,192150200000.0,2.0369296,Pre-Infall
6,289372440000.0,9.517798,Pre-Infall
7,192698550000.0,0.27268836,Pre-Infall
16,100577210000.0,0.19383234,Pre-Infall
38,23341218000.0,2.3714418,Pre-Infall
73,18337368000.0,1.8978119,Pre-Infall
98,10569805000.0,5.1715937,Pre-Infall
112,17715710000.0,4.986748,Pre-Infall
17191,151321760000.0,7.514766,Pre-Infall
31406,4146651600.0,2.2682261,Pre-Infall
31419,2847628800.0,3.0157278,Pre-Infall
41586,667876800000.0,4.8079324,Pre-Infall
41588,102050530000.0,2.2943406,Pre-Infall
41589,91107990000.0,0.63888556,Pre-Infall
41590,137470900000.0,4.3469453,Pre-Infall
41603,15950811000.0,17.96047,Pre-Infall
41644,11851558000.0,9.164719,Pre-Infall
41646,9637245000.0,5.2989345,Pre-Infall
41648,6152393700.0,2.814842,Pre-Infall
41650,3600551700.0,6.092848,Pre-Infall
41665,5838979000.0,11.632259,Pre-Infall
52625,70825116000.0,1.2813655,Pre-Infall
52683,2004620000.0,5.5484357,Pre-Infall
60742,55219730000.0,0.29809493,Pre-Infall
60750,60879282000.0,0.13048278,Pre-Infall
60776,3825247200.0,1.020091,Pre-Infall
60782,8447999500.0,2.8412752,Pre-Infall
60788,2340149500.0,4.1118565,Pre-Infall
60793,2411471400.0,7.087744,Pre-Infall
60797,2067126500.0,12.547172,Pre-Infall
60813,1276101100.0,3.7707534,Pre-Infall
60821,2730072300.0,3.7906115,Pre-Infall
69565,3055820000.0,3.433561,Pre-Infall
76104,28632482000.0,6.3871317,Pre-Infall
76112,4474900500.0,4.003499,Pre-Infall
76114,10693217000.0,13.163666,Pre-Infall
76125,9282978000.0,8.617927,Pre-Infall
76133,16775853000.0,2.6153648,Pre-Infall
76134,3119252500.0,3.575208,Pre-Infall
76135,2901428700.0,3.2795205,Pre-Infall
76141,2465933600.0,4.021328,Pre-Infall
76143,4199735600.0,5.5640507,Pre-Infall
76163,1056951230.0,4.241134,Pre-Infall
76171,1814619300.0,4.4484715,Pre-Infall
76172,3288611300.0,6.2870445,Pre-Infall
