Mass,Bfld,ID
294082840000.0,0.75276566,335927
341292450000.0,1.2410916,343429
107846910000.0,0.7784352,351779
196045960000.0,3.6137962,365263
218654540000.0,1.2818046,377398
115782870000.0,0.88600576,379949
127092250000.0,1.1661266,384914
131435380000.0,4.502096,387438
126723680000.0,3.0854435,391081
121684760000.0,0.6146341,391260
94868560000.0,0.79569876,391681
173218990000.0,0.7851925,393731
115125790000.0,0.85396963,393888
151728140000.0,1.376003,398110
113357770000.0,1.8714466,398913
78851780000.0,0.5619271,408764
160265980000.0,3.9569354,409358
116508475000.0,1.2425213,410303
111087660000.0,1.0359402,413608
112885735000.0,0.80968714,415373
99666210000.0,1.1070293,419909
70487800000.0,1.3861977,422831
137506110000.0,2.7157714,424485
133879910000.0,1.2499306,424725
126344780000.0,0.8901907,426483
134360800000.0,1.4321809,429237
92074130000.0,1.0550771,431282
70242280000.0,0.6960833,431868
84203760000.0,0.9438479,434681
117704900000.0,1.2419192,434938
114672250000.0,1.5661081,435309
91772270000.0,2.509698,435417
77056705000.0,0.9500239,435782
70041264000.0,1.454087,436003
106785540000.0,1.096532,436917
79911354000.0,4.2981505,437822
74312050000.0,1.3257856,438167
120175360000.0,2.5261817,438368
99965530000.0,0.57426184,439468
101980880000.0,1.339185,439518
84680245000.0,2.1781626,440642
104537874000.0,2.3247795,440827
86063940000.0,1.0015146,441667
90254270000.0,1.0307723,442154
79827720000.0,1.1411552,442439
86754100000.0,1.1426113,442637
113268154000.0,1.8613757,443356
110058830000.0,0.9301087,444184
101287770000.0,2.7179875,445092
123721450000.0,3.2248487,445271
121901834000.0,2.255858,446112
38680330000.0,0.46830127,446172
87760540000.0,1.1704494,447767
88636875000.0,2.987241,448111
58381447000.0,10.1540985,448269
74542320000.0,0.5573165,449201
88394555000.0,0.96834546,449267
84522110000.0,1.2518371,449465
91778830000.0,1.0410628,449651
95776014000.0,1.0430555,449846
62919115000.0,0.8345052,450265
74182120000.0,1.2536668,450767
89729230000.0,3.640355,450849
84525460000.0,0.44377327,451005
78880240000.0,0.7144577,451090
76709320000.0,1.8123991,451323
58449183000.0,0.5309815,451860
62974644000.0,2.5339448,451961
81402910000.0,1.2542144,452279
63681806000.0,8.937446,452357
103277370000.0,1.3378658,453019
77811020000.0,1.9129722,453134
115829750000.0,1.6563625,453713
63916216000.0,1.3081691,454074
52724777000.0,0.069639586,454633
76423094000.0,1.2981582,454729
83537610000.0,0.6154343,454898
64390690000.0,3.73067,455198
41502210000.0,1.8693141,456114
58620162000.0,3.262109,456456
87417020000.0,1.6946652,456538
69732370000.0,3.824889,456725
95538640000.0,0.41327745,457169
80701350000.0,1.5067555,457514
66755720000.0,0.68453705,457604
80898480000.0,0.869242,457871
70124180000.0,0.5686102,458231
58906550000.0,0.79730994,458447
88970240000.0,1.5320619,458604
60571177000.0,2.4818163,459020
104949630000.0,1.2621324,459360
49147646000.0,0.66200274,459786
73125410000.0,2.0892637,459959
65847124000.0,0.50246125,460117
71361550000.0,0.95954716,460273
65881977000.0,2.9601073,460692
86010980000.0,1.2350298,460746
61929345000.0,0.77553314,460823
53496414000.0,0.87457955,460888
58072480000.0,0.9077607,461038
77303276000.0,1.2301924,461136
60076028000.0,2.8055184,461609
60656275000.0,7.708488,461806
77585120000.0,1.6439712,462077
54712390000.0,3.0251749,462189
82523980000.0,1.3800902,462564
74295380000.0,0.8722238,462631
63361655000.0,5.7053246,463233
52743807000.0,2.8617,463395
61296380000.0,4.5183115,464742
78442700000.0,0.730686,464894
87014370000.0,0.89324313,465136
73187080000.0,1.3707358,465320
62172070000.0,1.5187595,465548
81348125000.0,12.528221,466387
72840700000.0,3.29153,466746
63433187000.0,0.93534905,466958
77500600000.0,0.91634285,467011
38606516000.0,9.000497,467127
72036880000.0,1.2154107,467256
53975556000.0,6.981359,467798
62967910000.0,0.5533455,467919
57753360000.0,1.3040255,468006
61473698000.0,2.8638618,468251
40525357000.0,6.478751,468508
40223695000.0,5.99194,468759
54234812000.0,3.1426904,468817
85552300000.0,2.0190742,468921
35887022000.0,6.871392,468967
52155320000.0,1.0898687,469102
73187180000.0,4.874311,469265
49253220000.0,5.6740856,469315
56413905000.0,0.93776655,469377
81192380000.0,2.7315013,469438
71254710000.0,1.9680378,469657
59075936000.0,2.3203716,469740
65182560000.0,1.4943162,469879
79235334000.0,6.6383934,469930
66446690000.0,1.3717437,470178
48513794000.0,0.5221534,470252
45377626000.0,11.096741,470380
63705174000.0,13.322575,470617
43650793000.0,6.9820614,470950
46327108000.0,7.6942997,471006
73520030000.0,1.9848207,471420
55288447000.0,1.3995196,471591
50351174000.0,7.7124076,471665
96988650000.0,3.40028,471857
68552004000.0,2.8341455,472362
52744864000.0,6.1563945,472457
62187040000.0,1.8372834,472499
41163910000.0,0.8640986,473287
47502574000.0,10.120696,473471
78928180000.0,2.1992998,473641
36410150000.0,16.404844,473676
41462292000.0,1.1829845,474061
64761630000.0,2.1701405,474127
58253970000.0,2.2939422,474170
70915130000.0,1.0433316,474231
45536540000.0,0.72836995,474505
52167193000.0,3.307054,474623
59135218000.0,6.323405,474813
45503560000.0,9.428436,474918
49045037000.0,11.401437,475020
45603398000.0,0.22156936,475098
32600992000.0,0.47047576,475293
69619320000.0,2.616334,475490
68980050000.0,2.809212,475865
42002730000.0,4.0968566,475906
46843470000.0,0.17851393,475956
62143290000.0,1.2902396,476118
40879022000.0,0.6287347,476527
51057324000.0,2.2377374,476892
60953584000.0,8.646172,476997
54799315000.0,1.1459591,477119
47444070000.0,6.020877,477474
80017800000.0,1.961087,477518
31755600000.0,23.390577,477564
44912595000.0,1.1382145,478160
62170305000.0,3.1376548,478452
67050443000.0,0.85164666,478496
44241314000.0,1.394073,478535
55046648000.0,1.4206272,478661
53460316000.0,17.531647,478696
36782498000.0,3.7239208,479117
47252763000.0,1.4172869,479174
53414343000.0,9.469463,479264
58044530000.0,3.043485,479839
66144838000.0,4.508648,480194
32206854000.0,8.418381,480230
56384240000.0,1.7473248,480391
72968176000.0,1.1444279,480550
53076677000.0,0.7004961,480750
51003036000.0,1.9059812,480803
37669716000.0,15.206611,480989
62227902000.0,1.2917553,481036
58876776000.0,2.2551854,481254
40395490000.0,24.990528,481300
31899711000.0,6.212705,481405
30629888000.0,8.079878,481545
45254435000.0,3.962558,481804
47303100000.0,1.885752,481894
31212237000.0,5.20088,482006
34919023000.0,0.14012882,482054
43942556000.0,16.036135,482435
47017017000.0,0.72501516,482533
59477107000.0,0.907703,482714
54032118000.0,4.026556,482757
50583933000.0,1.0326029,482869
59383235000.0,1.9847733,482987
35549577000.0,9.841077,483113
67845247000.0,2.1299136,483179
55917265000.0,0.14083755,483484
32763263000.0,13.251679,483521
37450240000.0,8.692425,483590
55321317000.0,2.2419362,483812
67648890000.0,1.7737054,483868
60295545000.0,5.321077,483900
51689440000.0,2.3926208,484207
60272440000.0,3.392268,484307
44935078000.0,9.53459,484655
56068720000.0,1.7541642,484715
45206872000.0,5.243392,484771
45592773000.0,0.197562,484852
56342495000.0,1.560472,484905
48232882000.0,0.97773457,484944
73673020000.0,1.3247555,485233
37523407000.0,4.8401523,485441
43020080000.0,10.875256,485518
50730365000.0,0.35986236,485747
53272990000.0,0.29180226,485951
50308817000.0,1.1695184,486009
58966696000.0,1.2230655,486052
55692812000.0,0.27496246,486124
47059820000.0,1.2939721,486186
44951667000.0,1.9240406,486281
38170395000.0,0.90916914,486463
30039126000.0,5.3936596,486525
30467832000.0,16.930418,486781
50486764000.0,3.1791036,486875
59649188000.0,9.642888,486966
52004442000.0,0.7878529,487042
51953710000.0,0.6044003,487152
50588880000.0,15.452755,487191
67063650000.0,4.1068997,487244
39520207000.0,5.042466,487276
26613416000.0,5.7155633,487393
24192970000.0,6.5635977,487438
44168544000.0,8.077693,487496
35955210000.0,0.53681463,487530
26143660000.0,7.4166856,487769
41206596000.0,8.574004,487877
51558765000.0,4.0545626,488123
41049375000.0,9.3665085,488174
50564555000.0,6.2288237,488415
41210340000.0,2.4786184,488722
38777483000.0,4.558802,489054
45185516000.0,9.796692,489100
49197180000.0,1.5642165,489273
57038103000.0,1.3955135,489314
34180899000.0,10.125631,489417
56313324000.0,1.8365762,489462
26024733000.0,9.286139,489501
37941424000.0,18.167875,489550
56711078000.0,3.852907,489593
35846586000.0,2.70009,489703
50242503000.0,1.1304047,489953
48374514000.0,2.027168,490109
51968705000.0,0.6865954,490172
39893316000.0,4.0456796,490238
33522180000.0,6.1797485,490280
29486406000.0,0.7412458,490342
44455760000.0,9.883237,490418
63960105000.0,1.1630166,490577
47791415000.0,2.095222,490617
51748620000.0,0.5008604,490661
40896905000.0,7.4634967,490768
27277620000.0,10.527082,490867
61429880000.0,1.9208282,491066
45409235000.0,0.7863046,491189
52183822000.0,10.521316,491282
32168100000.0,0.37093762,491354
33900093000.0,31.617449,491403
39839277000.0,1.3501955,491735
35492510000.0,6.217611,491761
46320110000.0,0.41351336,492092
45909647000.0,0.6746028,492125
39984456000.0,1.6250246,492178
31493605000.0,2.6238534,492223
57779350000.0,1.0237118,492392
39898640000.0,10.621169,492425
31915948000.0,2.8186643,492493
27803460000.0,6.062204,492565
57565370000.0,0.36886096,492614
44709950000.0,5.7105565,492825
37181400000.0,16.240252,492845
28660685000.0,0.6929218,492889
32349352000.0,1.0865291,493034
47580520000.0,2.3888798,493183
48881115000.0,1.4440017,493230
38041924000.0,2.7782109,493437
52515865000.0,6.8205624,493491
42278883000.0,3.9154735,493517
42462147000.0,3.2265916,493575
44350270000.0,1.5957638,493751
50953960000.0,4.380951,493964
30377318000.0,9.392955,494036
42992270000.0,1.3261206,494273
41241310000.0,1.355203,494326
24006513000.0,10.142895,494423
28365940000.0,23.071033,494721
30839464000.0,0.074303344,494846
21811579000.0,5.535614,494928
26128167000.0,7.654885,494991
37346742000.0,1.8064445,495043
37670515000.0,9.721441,495214
49311773000.0,2.4663584,495442
38157283000.0,2.5752273,495471
29959598000.0,3.6734898,495772
28019075000.0,22.411636,495803
52526740000.0,1.2071455,495854
27993518000.0,8.474823,495882
54001010000.0,0.7467256,496019
24230754000.0,5.6760554,496056
41046372000.0,0.77821326,496132
34223534000.0,1.0547795,496244
41121110000.0,1.9850568,496326
42934200000.0,1.4167771,496369
33600354000.0,8.079584,496474
43743990000.0,12.725818,496515
44444390000.0,0.47961226,496805
34836374000.0,5.221349,496990
31490533000.0,11.720784,497032
38352986000.0,2.044389,497088
32782848000.0,12.258353,497220
39484908000.0,11.180212,497258
37366055000.0,9.780612,497351
25692266000.0,11.096342,497498
43199080000.0,1.0512354,497548
49968878000.0,5.4157877,497646
35497890000.0,17.410091,497712
48355828000.0,1.3407203,497800
31906863000.0,0.8476029,497879
54317863000.0,12.095484,498011
29903567000.0,1.0657763,498031
44979270000.0,1.713921,498297
39978488000.0,17.006132,498389
31877175000.0,4.265076,498520
25423800000.0,11.502833,498576
41984800000.0,19.341606,498677
25335558000.0,8.178525,498710
51044100000.0,3.5863795,498768
30524041000.0,13.599851,498803
27778943000.0,3.843643,498854
43256955000.0,1.1895058,498923
49323876000.0,2.3916743,499025
63729148000.0,3.5603988,499113
46375580000.0,5.8324685,499130
36629262000.0,0.24553947,499161
32895603000.0,7.345129,499223
22921190000.0,8.899704,499270
35074413000.0,8.699379,499383
60797362000.0,1.4267391,499463
44415336000.0,8.509888,499609
46246703000.0,1.3508705,499636
33157708000.0,3.9246924,499810
33284772000.0,3.8617828,499852
30952268000.0,11.844679,499960
20943725000.0,4.928707,499996
40254165000.0,7.764391,500086
32870031000.0,7.0918303,500114
37224890000.0,6.861319,500188
46783020000.0,1.6541455,500239
45057503000.0,0.9317864,500268
35447590000.0,4.237128,500294
28728711000.0,17.439392,500366
44211110000.0,0.055184707,500448
36759610000.0,7.426491,500494
26109182000.0,12.481538,500575
32654279000.0,6.8075314,500632
39091024000.0,5.1577263,500725
16919302000.0,6.2196803,500766
25158294000.0,5.066977,500867
40020963000.0,11.77173,501215
28639934000.0,0.2798684,501244
28672354000.0,11.5148115,501292
26307105000.0,3.5486882,501324
36110530000.0,1.3285954,501430
43395180000.0,3.7859168,501526
52167557000.0,14.3475275,501604
37433600000.0,9.11023,501658
31699333000.0,3.4386122,501761
34127317000.0,0.36022124,501859
42483757000.0,0.51031375,502168
27340680000.0,11.655917,502279
29953407000.0,4.731269,502312
37313310000.0,1.4156731,502347
35460850000.0,1.2891577,502427
40069980000.0,11.50743,502503
33618029000.0,7.884837,502595
41772438000.0,4.653088,502619
39764330000.0,3.3188982,502648
30231437000.0,10.341295,502730
38840177000.0,2.6046112,502767
24304308000.0,9.732935,502796
32554107000.0,8.883519,502919
50581578000.0,1.1192757,502956
27818512000.0,13.749165,503091
50890957000.0,2.5810418,503114
29466204000.0,7.0334153,503364
38521490000.0,0.6987689,503393
39758316000.0,0.2287525,503432
39789576000.0,13.84419,503503
39938626000.0,6.295088,503664
31163320000.0,1.3681837,503778
20752150000.0,12.774553,503826
19935977000.0,6.3525023,503880
28262162000.0,0.51470786,503951
34369010000.0,7.0700874,504030
45798170000.0,1.3227725,504065
55972410000.0,0.27546653,504142
22359386000.0,8.852936,504177
24265888000.0,14.611055,504227
27581660000.0,5.5183334,504295
34344323000.0,3.0477383,504350
9684657000.0,6.4773517,504488
28902701000.0,6.383994,504549
19675159000.0,7.3335466,504593
39088394000.0,7.8304067,504650
43070060000.0,1.2099693,504730
20546535000.0,30.108587,504785
46284485000.0,4.559165,504837
22888272000.0,18.299913,504863
19406375000.0,6.4296823,504994
27534051000.0,3.7526917,505030
17611487000.0,18.129585,505106
31573385000.0,4.306466,505455
43407870000.0,0.6165513,505616
23773938000.0,10.245746,505642
33533366000.0,14.8171625,505793
30876426000.0,25.8818,505831
36024967000.0,0.40390676,505928
34780140000.0,2.2422566,506063
24170290000.0,18.893887,506106
20898916000.0,17.273067,506138
46948320000.0,1.1449288,506207
30263724000.0,9.667749,506244
31793607000.0,0.5858521,506393
29800850000.0,4.8509827,506409
16614583000.0,3.865493,506481
30783100000.0,3.1240122,506566
37246697000.0,13.4815445,506609
34178382000.0,13.248029,506753
19032930000.0,4.1082573,506823
28879250000.0,9.378599,506903
31436894000.0,1.3487316,506943
38923600000.0,9.822789,506992
23337521000.0,5.7004137,507025
49796678000.0,6.7109714,507096
35891260000.0,0.71773624,507130
24551997000.0,5.443445,507157
28273529000.0,12.071574,507256
32884136000.0,0.7613144,507299
31040475000.0,18.899128,507327
38703935000.0,0.8539324,507361
34057400000.0,8.114855,507556
33270147000.0,0.42640767,507587
27858467000.0,1.5293862,507701
26284898000.0,23.48745,507742
22355251000.0,10.475842,507900
44800864000.0,2.1346726,507965
22424515000.0,5.676446,507984
40621994000.0,2.0514867,508156
20743057000.0,6.484755,508188
33064660000.0,4.455087,508239
26040007000.0,5.5046415,508263
34850860000.0,5.1664724,508463
22068363000.0,21.900894,508564
20902306000.0,5.5978355,508596
22201422000.0,3.000583,508709
30261305000.0,10.171518,508748
22645666000.0,9.827598,508824
19402056000.0,4.6640043,508854
28251720000.0,9.470278,508955
45372092000.0,0.62219393,508985
29061335000.0,1.0650142,509018
40255250000.0,5.8215127,509079
45793320000.0,5.392185,509103
23867126000.0,4.0576406,509167
25318246000.0,21.912481,509363
33792119000.0,6.6992497,509402
49508120000.0,10.082126,509468
21747580000.0,7.736273,509521
24190480000.0,7.50234,509689
26732964000.0,0.43820986,509766
15223563000.0,13.005808,509805
23471053000.0,14.57446,509903
30202464000.0,6.619579,510161
23610452000.0,15.185254,510245
39732150000.0,3.3458443,510299
28878330000.0,6.8845253,510323
21406302000.0,14.65559,510390
31227904000.0,1.1644212,510430
25937220000.0,13.3489895,510458
21704712000.0,10.031059,510495
31195730000.0,12.883889,510567
39015174000.0,0.98709995,510680
24908497000.0,5.002164,510778
26138802000.0,3.9689772,510806
44954345000.0,1.7589017,511005
36920120000.0,14.4154625,511021
22864232000.0,6.198285,511095
26389703000.0,9.374176,511127
43269235000.0,21.380663,511195
14751126000.0,9.723671,511214
36491210000.0,8.335726,511274
30680494000.0,1.538531,511298
22857865000.0,6.639332,511362
23819411000.0,10.377707,511542
40516973000.0,0.8905642,511576
26388005000.0,0.842846,511600
21465250000.0,10.365491,511638
37160874000.0,11.898895,511687
29949921000.0,5.883484,511714
32695642000.0,0.64821285,511748
45197242000.0,4.1870584,511858
38216385000.0,1.0398389,511944
32821903000.0,0.17622073,511980
21143980000.0,9.953645,512125
52787634000.0,7.072251,512154
36990906000.0,1.0967932,512306
18585530000.0,5.2750974,512366
27429710000.0,12.278664,512414
30411880000.0,5.611657,512459
33168482000.0,1.4323481,512600
17680361000.0,13.86943,512707
27594484000.0,8.537542,512842
31716366000.0,10.9711075,512934
26986095000.0,8.35533,513026
25855918000.0,2.9306326,513052
20673411000.0,2.5245075,513094
35872604000.0,18.837698,513137
36057686000.0,6.980764,513186
17423075000.0,6.503065,513322
29280788000.0,6.7545247,513402
28864758000.0,12.41645,513437
26629065000.0,6.70043,513468
51400688000.0,1.2822514,513504
35174580000.0,9.881006,513624
36483154000.0,9.617687,513646
37858840000.0,9.62337,513718
32338674000.0,11.158334,513760
8420550700.0,14.700027,513789
26140414000.0,10.680858,513820
32000594000.0,8.672028,513925
31564452000.0,7.6866755,513954
33883380000.0,9.808175,514017
24661381000.0,9.097146,514093
32878970000.0,4.2053127,514127
38990040000.0,6.779827,514178
30747785000.0,0.162882,514249
21175175000.0,3.483428,514295
29645548000.0,4.0010676,514333
25919435000.0,10.653855,514475
23623123000.0,11.868334,514500
20243427000.0,6.131151,514637
27090956000.0,13.859453,514671
25234176000.0,26.75146,514699
24451080000.0,4.244948,514770
18907443000.0,7.1876063,514808
44906760000.0,1.3357304,514885
27725935000.0,10.716179,514961
35270050000.0,0.62117577,514988
42864470000.0,1.8109683,515252
26376790000.0,8.125741,515265
23917850000.0,8.109381,515286
15484484000.0,1.4851321,515332
25026726000.0,7.918568,515410
32953862000.0,13.86655,515437
27484248000.0,2.2772346,515473
33870313000.0,0.47080436,515543
14456584000.0,4.852185,515570
26339402000.0,10.565195,515620
14991275000.0,10.80062,515684
32123927000.0,8.779157,515751
23841876000.0,7.045356,515794
20794510000.0,9.97999,515860
23874056000.0,8.37254,515909
25465938000.0,13.18336,515936
22303021000.0,10.883097,516034
27297060000.0,1.6833994,516068
34983875000.0,6.110479,516104
24864240000.0,11.656744,516188
33305127000.0,12.725262,516225
17387452000.0,11.759519,516256
32133214000.0,18.686964,516303
15567612000.0,6.5748563,516377
47040630000.0,8.562069,516398
24992213000.0,5.64357,516465
25027545000.0,13.907484,516502
30449125000.0,4.426316,516572
22984915000.0,3.5631196,516606
29065740000.0,0.9200494,516638
22365745000.0,3.0697505,516703
27534553000.0,13.109346,516793
34360610000.0,17.317183,516889
25052234000.0,3.4273336,516909
25567056000.0,13.505462,516966
17454227000.0,11.4570055,517106
35268022000.0,11.026893,517199
11558462000.0,1.9949471,517234
24128016000.0,14.442299,517290
18493570000.0,6.7347584,517336
39623060000.0,5.5090823,517366
21271857000.0,11.600828,517461
31933270000.0,6.3073235,517503
31804752000.0,0.52667964,517644
29795824000.0,0.99841374,517681
28206127000.0,16.2961,517751
