Mass,Bfld,ID
3705584700000.0,2.737671,0
2285440000000.0,1.4451839,17185
2833792600000.0,1.8838814,31342
1424632000000.0,7.077818,41582
1202325400000.0,2.439473,52618
1340881100000.0,1.9616768,60731
2225182000000.0,2.7734497,69507
952085840000.0,2.3364925,76086
2094143800000.0,2.3518693,83280
2066222500000.0,2.280938,88663
1750284400000.0,2.519096,96500
1596471900000.0,2.0892367,102683
594922600000.0,1.449186,108012
973366030000.0,1.1338118,114389
1184906600000.0,2.6921978,118679
957710300000.0,2.8158803,121863
935517200000.0,4.1556525,125028
1317181800000.0,1.6633905,128393
805841700000.0,1.0489856,131047
803658140000.0,1.327917,134847
848021000000.0,1.5073578,137885
752950800000.0,1.5335134,140721
1546026200000.0,2.3757277,143884
744572300000.0,2.040798,146176
759625900000.0,1.7599934,149169
776391700000.0,1.6597918,152031
869427840000.0,1.349578,154493
907390940000.0,2.557239,156809
583304800000.0,2.1725736,158847
765191060000.0,2.3892272,161162
811644700000.0,1.8647274,163675
675072800000.0,2.5261378,165727
981016050000.0,1.3357226,168390
767100900000.0,1.5747204,170540
409634440000.0,0.7860172,172649
526173900000.0,2.5297759,175238
1310888200000.0,1.1450922,177719
586140500000.0,4.2535405,179886
349531200000.0,5.397066,181983
756219000000.0,0.99573255,184828
795161100000.0,2.9563677,186927
924853700000.0,4.032232,188859
647510600000.0,1.1603638,191079
290691320000.0,4.7066727,192898
548107550000.0,1.0433109,194947
359984170000.0,1.7215323,197108
794443640000.0,1.5091529,199321
397307740000.0,1.662891,200803
493694600000.0,1.436645,202634
502057140000.0,1.8197935,204234
996452900000.0,1.4704252,206226
632536560000.0,7.8531375,207473
443162620000.0,2.8188286,208781
478154720000.0,0.98370343,210764
673428340000.0,1.0116401,212836
520558480000.0,2.3287725,214452
460412940000.0,1.6787183,216016
427987470000.0,1.508174,217485
586616500000.0,1.4059647,219032
255297750000.0,2.145525,220558
430519320000.0,4.475234,222267
396798360000.0,1.688484,223896
745278600000.0,1.1539586,225155
699179700000.0,2.5512385,226194
805006340000.0,3.9848602,227574
426476730000.0,1.8571877,228680
574359400000.0,5.558299,230235
339546870000.0,1.3299413,231707
337031270000.0,2.1577961,233214
577594300000.0,1.2103521,234514
584529740000.0,4.0862646,235692
377551260000.0,0.95534176,236756
254601900000.0,4.3179936,237941
588400700000.0,1.2884254,239245
300631600000.0,1.4621773,239993
298924340000.0,1.7493436,241153
542831050000.0,0.7191088,242214
207062480000.0,2.3369749,243186
383149400000.0,4.1477585,244318
321478820000.0,1.8748641,245134
505770000000.0,3.0259917,247348
329978000000.0,2.0278735,248157
197286800000.0,1.6192092,249164
370744330000.0,0.78901243,250390
460108630000.0,1.8277104,251299
453801740000.0,6.8422,252245
133897710000.0,3.3500154,252995
325962240000.0,1.986536,254112
479133070000.0,2.139858,254925
345107800000.0,2.2887878,255614
493368670000.0,2.2751498,256507
385731360000.0,0.7736736,257302
254566840000.0,1.0007375,258263
168117100000.0,1.3407494,259114
383550880000.0,2.5712678,260014
168315110000.0,1.7329346,260862
373840020000.0,1.4300976,261959
209761670000.0,1.4869958,262659
139103980000.0,1.0088804,263558
250159450000.0,1.4505037,264412
486024380000.0,2.7598295,265267
289737050000.0,1.3257278,265926
220931590000.0,2.2936113,266559
537454180000.0,1.7756563,267323
452091120000.0,1.991071,268295
434282460000.0,4.7567773,268908
356147460000.0,1.3699903,269440
275805100000.0,0.9313839,270079
246565220000.0,3.659999,270963
447374230000.0,2.0378833,271729
170612030000.0,4.457914,272322
239419950000.0,1.244446,273141
242867240000.0,2.0290024,273994
444180370000.0,1.599391,274790
210072140000.0,1.4492769,275531
286516180000.0,2.7550807,276219
265185510000.0,1.6188877,277020
407235430000.0,3.8039048,277687
277248440000.0,1.6124779,278302
207027720000.0,1.0071489,278854
238982820000.0,2.2041857,279707
393024900000.0,2.6643808,281072
214353250000.0,0.7453421,281700
312585000000.0,2.4109452,282377
433688250000.0,2.621809,283011
384981630000.0,2.2002342,283637
225240090000.0,3.2338536,284316
280846370000.0,1.2202919,284948
409374800000.0,2.0891306,285479
240107450000.0,0.98520046,286066
222084700000.0,3.6147,286695
161731380000.0,1.9858218,287335
251596780000.0,0.9988004,288015
301739300000.0,3.1679814,288743
317980800000.0,2.681791,289426
251364720000.0,3.9047158,289945
288316230000.0,1.4654796,290643
98030500000.0,1.3747694,291113
315171730000.0,2.0000415,291888
230271420000.0,0.6328024,292355
205543370000.0,2.2321389,292921
239302980000.0,1.0660335,293439
223301370000.0,3.0308242,294047
232857670000.0,3.4719918,294510
277380560000.0,0.74252653,295077
125698030000.0,1.591219,295674
373360200000.0,2.6553972,296302
314714260000.0,2.701046,296787
232211560000.0,2.5969393,297210
303595300000.0,0.87414616,297712
168768670000.0,2.1819122,298206
200816120000.0,3.948112,298892
185196270000.0,1.5776253,299429
272480400000.0,1.8789768,299935
109295935000.0,2.2259212,300568
117198240000.0,2.8547785,301128
285276050000.0,2.9106085,301746
123844150000.0,1.3497187,302166
226094530000.0,2.7044313,302773
354795230000.0,2.7675824,303362
291303230000.0,2.4283774,303710
409518500000.0,3.1308923,304201
286419260000.0,1.1409525,304726
180961310000.0,1.3833305,305083
220793000000.0,0.6713411,305653
314922070000.0,3.4720407,306058
329530100000.0,1.2650273,306516
233390720000.0,1.411308,306945
196849780000.0,2.4307122,307438
110026430000.0,0.3972526,308061
217210180000.0,1.6295674,309045
90830310000.0,1.6101961,309428
147142020000.0,5.4639487,310509
259121790000.0,0.9994726,310985
205794210000.0,2.1829445,312891
170083660000.0,1.5403794,313403
205697450000.0,1.0873097,313954
310966450000.0,2.0632856,314365
288010370000.0,2.652394,314770
252593240000.0,1.7328738,315140
183169170000.0,1.696597,316029
192413710000.0,1.5428602,316354
205690550000.0,0.82288677,317711
187321070000.0,1.8503021,318210
173755320000.0,2.2705574,318633
231894120000.0,2.9122694,319643
205751800000.0,1.2931465,320012
294845450000.0,1.2236048,320433
213697840000.0,5.31101,321204
232171320000.0,3.0370467,321674
249788960000.0,2.9405146,322160
97311170000.0,0.8644599,322581
153579630000.0,1.1910406,322979
236537890000.0,1.3169854,323455
242891570000.0,2.5572913,323851
182152840000.0,2.0313816,324127
170726160000.0,1.2361081,324997
149315630000.0,4.196984,325808
111854666000.0,2.4594426,326217
185229050000.0,3.733214,326652
269193690000.0,2.0038915,327112
253249500000.0,1.6141598,327405
131739976000.0,3.1924777,327822
119007450000.0,1.4800841,328252
109435740000.0,1.5015038,328677
184702940000.0,2.4148285,329105
152371000000.0,3.8299012,329515
159113150000.0,3.5020287,329849
243202950000.0,2.0882788,330208
151698000000.0,1.6371651,330553
254880140000.0,3.025432,330955
235387390000.0,2.1631613,331293
159190500000.0,2.8220668,331701
111310230000.0,1.7687705,332069
163323800000.0,0.7590931,332389
128965894000.0,1.1478853,333258
135917090000.0,4.0235806,333672
195154820000.0,4.498943,334028
227502770000.0,1.8376585,334350
210472580000.0,2.1938071,334727
231801770000.0,0.5086836,335078
303872080000.0,2.4438922,336276
158706270000.0,1.9596651,336516
222555260000.0,2.6356125,336796
140921850000.0,2.3470206,337048
137167210000.0,1.2729158,337444
99846740000.0,1.714963,337843
149027140000.0,2.363212,338148
254699590000.0,0.7651661,338458
115698024000.0,2.1136596,338817
279158500000.0,1.5150257,339181
172232590000.0,0.513824,339547
297883270000.0,1.708155,339862
187365240000.0,2.0215225,340106
197691650000.0,2.36579,340355
106580020000.0,1.0594845,340585
131789570000.0,2.668187,340977
180467250000.0,1.4349952,341356
91740610000.0,2.3497179,341683
171742450000.0,0.99333656,342047
205612840000.0,2.4391935,342343
160956900000.0,2.2176998,342689
146771300000.0,0.6705655,343039
138696430000.0,2.1220183,343638
82660370000.0,1.1564656,343988
175588250000.0,2.1147468,344300
111108420000.0,2.4610288,344593
182223980000.0,1.5135937,344987
169913070000.0,1.6891929,345250
80430470000.0,0.68839324,345457
133785895000.0,4.981572,345812
162481860000.0,0.39005646,346075
156185030000.0,2.3882751,346420
169217250000.0,3.5975585,346748
190243620000.0,1.9572301,346976
198252860000.0,2.6555686,347237
154378100000.0,1.7516898,347508
150089380000.0,2.9666374,347785
141573490000.0,2.1060114,348038
162697800000.0,3.235287,348334
132886940000.0,0.8717299,348593
106623490000.0,2.5117223,349135
243938310000.0,1.8587791,349414
120214240000.0,0.6950703,349624
149489500000.0,1.4980656,349897
126326145000.0,0.25216666,350183
171956730000.0,1.3874981,350486
191179640000.0,1.8197165,350843
77230830000.0,1.2706368,351071
130061970000.0,1.618151,351452
93640810000.0,2.5571043,352061
239981020000.0,0.46770698,352359
113231495000.0,0.7655245,352578
166285380000.0,1.789631,352816
94739866000.0,2.1441975,353168
194695790000.0,1.6478915,353423
206143160000.0,1.9181341,353729
170137960000.0,1.3104168,353973
144978460000.0,1.2197754,354727
99259300000.0,1.1856608,354986
101045080000.0,0.8117903,355537
92032370000.0,2.1859915,355911
200237990000.0,3.016036,356176
165988600000.0,2.2013195,357235
136175140000.0,1.4088317,357465
216762160000.0,2.8729758,357765
141841040000.0,1.4214928,358016
113927840000.0,1.6288347,358273
146098100000.0,2.573382,358582
281668680000.0,2.1378314,358886
99377594000.0,0.5978373,359086
144420650000.0,1.3358256,359334
197902780000.0,2.6434612,359639
131284490000.0,1.2471066,359811
193228780000.0,1.7768145,360087
174666170000.0,2.2430096,360294
208451600000.0,1.0516733,360509
257179010000.0,2.2419527,360750
70348734000.0,0.32820693,360916
91824150000.0,1.760795,361189
80455760000.0,1.5564189,361418
70542210000.0,1.4088088,361752
220944470000.0,1.017103,362042
228901600000.0,2.508255,362370
95800260000.0,3.3965816,362551
161793500000.0,0.9224766,362780
205269530000.0,1.2724992,363104
201574070000.0,2.076927,363315
205166640000.0,1.9679877,363524
219288350000.0,2.7153807,363981
152566960000.0,1.4472095,364263
187561300000.0,1.7950643,364807
134588210000.0,1.443344,365493
85643180000.0,0.8469034,365743
70969410000.0,2.0603244,366338
113356710000.0,1.3161955,366565
105408520000.0,1.5497675,366792
138761060000.0,0.9599771,367456
52576840000.0,10.86509,367929
116653140000.0,5.5116754,368170
211758100000.0,2.2181344,368436
163355480000.0,1.515988,368697
125181330000.0,4.3892164,368884
139349130000.0,1.369926,369152
77701230000.0,3.5397227,369366
167519830000.0,3.585205,369545
183172640000.0,1.7139539,369789
113770226000.0,2.114342,370003
100803770000.0,1.3726764,370190
157677760000.0,1.9605747,371259
136879510000.0,1.3241886,371471
158050570000.0,1.5889249,372175
123611620000.0,0.65529144,372343
195552070000.0,1.6483679,372568
177919790000.0,1.8254842,373050
55322330000.0,2.778748,373292
168473410000.0,2.101396,373510
97120540000.0,0.5572657,373699
87975895000.0,0.67421514,373951
177171510000.0,2.8833563,374228
74331820000.0,1.2191985,374379
158888900000.0,1.1232013,374593
90189960000.0,0.95657766,374789
207161970000.0,1.3049275,375020
85220180000.0,3.7527037,375401
97602445000.0,0.78891927,375639
124532180000.0,0.88221633,375909
147383420000.0,0.879019,376356
88385370000.0,1.7807626,376544
108611760000.0,1.9075143,376738
153878020000.0,1.7546531,376963
170032460000.0,2.5143616,377212
120899576000.0,0.9254513,377539
98402240000.0,1.2576478,377804
53969710000.0,1.5121657,378115
83457245000.0,0.46727407,378526
41107333000.0,6.423464,378745
104249010000.0,1.1886896,379147
122369204000.0,1.3103982,379320
134188200000.0,1.2786262,379732
167908460000.0,1.7726364,380119
143858940000.0,2.3411672,380276
94486120000.0,1.9434959,380752
127411530000.0,1.2882298,380934
55761097000.0,0.9219843,381147
154615050000.0,1.459117,381392
78227730000.0,7.246896,381832
148117880000.0,3.057283,382059
69932890000.0,0.08977234,382256
77754240000.0,1.1008645,382483
113620820000.0,0.8293421,382684
83936750000.0,2.7510488,382921
35596878000.0,8.011639,383120
135078560000.0,2.4981158,383307
39194240000.0,0.9740856,383506
113209020000.0,1.3195803,383723
105266086000.0,1.0525749,384103
43408130000.0,0.27045718,384534
160427110000.0,1.2592447,384705
53068554000.0,0.86744964,385115
110657610000.0,1.3586394,385582
59220247000.0,0.3814834,385798
83644660000.0,0.9519364,386247
102098240000.0,4.0962358,386429
119917270000.0,1.7479495,386612
109324070000.0,1.6740133,386827
69612530000.0,0.41286758,387067
157408330000.0,1.5626963,387236
85278925000.0,1.5788871,387936
121804320000.0,6.20174,388115
112574410000.0,1.9152874,388428
238841280000.0,1.5212003,389056
135990150000.0,0.86233217,389156
72952040000.0,4.1740465,389346
