Mass,Bfld,ID
627139600000.0,3.951479,2
133340406000.0,1.1169869,4
86144800000.0,0.5829381,18
13369901000.0,5.9659033,37
7974474000.0,8.029779,42
25130009000.0,11.868659,43
12423550000.0,9.299647,51
28036592000.0,11.397982,52
11286389000.0,4.1846185,62
22581870000.0,15.791875,72
5657393700.0,9.147416,113
2123983700.0,18.236567,116
3091200800.0,7.3056455,119
5784182300.0,5.429139,123
2439587800.0,3.5661857,136
1686553200.0,2.568215,139
2222649900.0,2.8776839,140
5138805000.0,6.7681355,143
4372389400.0,12.536193,144
2232028200.0,37.525356,151
2438026200.0,3.6576307,154
1474440700.0,4.145415,184
1517670100.0,2.6186352,197
1639181600.0,15.979835,530
604629430000.0,5.3630824,17187
154244300000.0,1.0157655,17189
38508786000.0,4.922829,17216
18886770000.0,13.948669,17231
14199159000.0,9.526208,17234
4906056700.0,7.073019,17261
1961643100.0,5.6627445,17282
1214990600.0,21.334476,17288
2252732700.0,3.2225993,17290
89276540000.0,1.4999472,31345
163830320000.0,0.17042652,31346
87549590000.0,2.19777,31348
15886608000.0,3.217547,31400
6202749000.0,2.7589855,31403
6567131000.0,4.9264035,31410
2597489200.0,6.3995037,31413
1368745600.0,3.9389398,31416
839004850000.0,2.908829,41583
136531030000.0,2.067722,41587
22268700000.0,8.173279,41600
46139580000.0,7.5510354,41604
17741976000.0,4.873502,41608
21908406000.0,1.7552857,41612
31612680000.0,5.3085384,41616
29921876000.0,5.2102594,41620
11121839000.0,12.192908,41642
7788691000.0,6.2733345,41657
2373232600.0,4.430386,41661
2831805000.0,5.7690063,41671
1679922600.0,0.9928068,41710
44542603000.0,8.771481,52630
35399885000.0,10.035249,52635
7844070400.0,3.2836986,52669
272559010000.0,0.6813436,60737
85223330000.0,0.2137553,60738
86350290000.0,6.4705844,60749
36111213000.0,7.2600045,60754
4641468000.0,5.667964,60768
3356320000.0,4.1282377,60779
3345315300.0,4.27834,60794
2176411000.0,5.1431127,60804
47931646000.0,0.13006051,69514
68764070000.0,6.1434197,69520
22564231000.0,22.143528,69527
9459187000.0,7.9298577,69533
13246662000.0,1.6468713,69538
11382115000.0,1.6346178,69543
87277360000.0,2.1276054,76096
37372514000.0,0.15401055,76100
10262377000.0,4.618575,76116
8589618700.0,9.581178,76126
1566393900.0,21.939564,76314
2635849000.0,8.735045,83334
11060152000.0,4.0294046,88685
8146694700.0,5.03493,88694
4352277500.0,2.3143516,88718
2861566700.0,1.419505,88742
36377070000.0,5.745438,96512
45075034000.0,0.33938906,96515
1530066700.0,7.4733253,96544
2371601000.0,3.1135974,102712
13452331000.0,3.3427677,108038
5934840000.0,7.134843,108041
6770778000.0,4.153937,108044
5805069000.0,2.6169024,108060
1019567550.0,1.1687961,108084
10656633000.0,5.470885,114402
11118427000.0,3.1987605,121882
7168813600.0,2.2533126,125047
2121385000.0,3.5699837,125058
4445689300.0,1.3825189,134884
1073452400.0,2.283743,134898
3372438000.0,3.0869088,137909
20370640000.0,8.856562,143887
84773060000.0,0.38528487,146180
4420380700.0,2.4374108,146202
1664407800.0,0.80981386,146216
115070304000.0,1.7171134,149172
13748980000.0,12.807055,149177
52829127000.0,0.25086382,158849
13988519000.0,14.166255,161176
69876710000.0,0.24138658,163677
10431145000.0,4.5060525,163679
4941002000.0,3.0996053,163690
35820126000.0,10.092109,170544
49616350000.0,5.4211464,170546
147516470000.0,1.7535272,172653
2051225300.0,1.7938086,172672
52523577000.0,4.4955297,175246
2386471000.0,10.67762,175293
97119850000.0,2.6582696,179889
51043156000.0,2.185884,181988
57832240000.0,1.6049556,184829
3064217000.0,2.1989524,186941
17260677000.0,11.056423,188869
17256036000.0,11.282464,191086
3200175000.0,3.4548776,192933
104398930000.0,3.950583,197110
2958662700.0,2.549584,200820
36773335000.0,0.12064352,207476
11520827000.0,2.2829745,207478
1503064000.0,19.922304,207486
2963140900.0,2.4874759,210774
4342479000.0,4.6824937,210779
7419414500.0,1.1830364,214460
3596027000.0,0.70500517,216035
17822837000.0,13.980103,219036
3913744100.0,3.4700346,223911
19688262000.0,3.3238568,230241
7008077300.0,12.016724,235698
20145314000.0,12.16752,236768
4617010700.0,4.419899,237950
1025365500.0,1.0658098,237976
15585876000.0,3.722793,239250
3140898000.0,11.324463,239999
3927987500.0,7.909319,240002
59246203000.0,1.2699835,242215
4306778000.0,3.3625991,243199
3912638500.0,4.565147,243200
7181762000.0,2.0436225,244326
2445353700.0,3.9433177,246242
1240793300.0,3.6724916,246243
7678951000.0,3.0822914,248163
8471863300.0,16.395185,249172
5181788000.0,6.4953437,252256
1049879550.0,1.8137537,256520
47855310000.0,6.3950605,257303
246863090000.0,0.5209017,258264
5932456000.0,4.128248,258267
2001408000.0,7.711943,259123
2396348200.0,10.180997,259127
6722011000.0,4.9407506,260869
2869652700.0,3.3256445,260871
2025756200.0,5.9809046,260872
1087504300.0,1.5888153,260877
1249087600.0,3.9168673,263578
12755931000.0,17.445591,265929
2345325300.0,3.7877824,267326
10124943000.0,4.6326485,270084
4020094500.0,4.9365706,272326
7683783000.0,3.2575746,275538
16514327000.0,5.795938,276223
15038231000.0,6.2169976,278855
1033364030.0,2.2951138,278861
2238013000.0,3.4499857,282379
9777081000.0,5.533888,284954
64474305000.0,1.3185459,286696
4791062500.0,5.3943596,292924
4360039400.0,4.7995486,295682
1349425200.0,2.2068923,296311
1453169800.0,1.0809536,301140
7168398300.0,6.305323,302779
1515607600.0,2.8570368,304729
