Mass,Bfld,ID
558791700000.0,1.5877304,1
171551460000.0,2.3065846,3
192150200000.0,2.0369296,5
289372440000.0,9.517798,6
192698550000.0,0.27268836,7
100577210000.0,0.19383234,16
23341218000.0,2.3714418,38
18337368000.0,1.8978119,73
10569805000.0,5.1715937,98
17715710000.0,4.986748,112
151321760000.0,7.514766,17191
4146651600.0,2.2682261,31406
2847628800.0,3.0157278,31419
667876800000.0,4.8079324,41586
102050530000.0,2.2943406,41588
91107990000.0,0.63888556,41589
137470900000.0,4.3469453,41590
15950811000.0,17.96047,41603
11851558000.0,9.164719,41644
9637245000.0,5.2989345,41646
6152393700.0,2.814842,41648
3600551700.0,6.092848,41650
5838979000.0,11.632259,41665
70825116000.0,1.2813655,52625
2004620000.0,5.5484357,52683
55219730000.0,0.29809493,60742
60879282000.0,0.13048278,60750
3825247200.0,1.020091,60776
8447999500.0,2.8412752,60782
2340149500.0,4.1118565,60788
2411471400.0,7.087744,60793
2067126500.0,12.547172,60797
1276101100.0,3.7707534,60813
2730072300.0,3.7906115,60821
3055820000.0,3.433561,69565
28632482000.0,6.3871317,76104
4474900500.0,4.003499,76112
10693217000.0,13.163666,76114
9282978000.0,8.617927,76125
16775853000.0,2.6153648,76133
3119252500.0,3.575208,76134
2901428700.0,3.2795205,76135
2465933600.0,4.021328,76141
4199735600.0,5.5640507,76143
1056951230.0,4.241134,76163
1814619300.0,4.4484715,76171
3288611300.0,6.2870445,76172
1179207800.0,1.6882321,76183
225252970000.0,0.24582146,83282
1776408300.0,4.3142014,83341
46148866000.0,0.5495126,88671
36523730000.0,19.478474,88675
19429499000.0,8.942601,88680
11779304000.0,13.905961,88681
8823331000.0,7.566527,88684
11154941000.0,4.1809874,88686
17151618000.0,2.7324188,88695
4748060000.0,4.8857727,88699
2903748400.0,4.6858916,88708
5858052600.0,17.194904,88716
2564642800.0,1.8499055,88730
1198288400.0,2.3458803,88740
2478650400.0,6.6805253,88753
19416620000.0,4.7024302,96513
5980207000.0,5.173893,96523
10872382000.0,4.1089525,96542
3050316800.0,4.7903643,96597
4654016000.0,8.031193,102699
4385938000.0,3.8460612,102721
49278040000.0,7.7265196,108025
18851054000.0,9.000601,108027
19547939000.0,15.18048,108028
8306887000.0,8.250925,108029
19263040000.0,9.957319,108031
15377979000.0,8.609443,108047
6946676000.0,1.6380867,108050
4918393300.0,3.8215895,108051
1458308500.0,8.451902,108052
6925390000.0,4.2333436,108056
1839158400.0,1.8941528,108057
1852717800.0,4.1975656,108058
1326261000.0,3.05561,108062
1611568600.0,3.3654938,108064
1812370400.0,2.0790088,108066
1286797800.0,7.3894014,108067
1632342900.0,6.775004,108072
1892959600.0,3.6764793,108080
1400180000.0,3.3270547,108092
3773584400.0,37.081234,108125
11402887000.0,7.899201,114405
4756249600.0,3.7128286,114406
3104269000.0,2.766088,114412
10411974000.0,130.2555,114424
8242168300.0,465.50763,114429
23860340000.0,5.119646,118687
4369501700.0,3.2020965,118702
2990287400.0,0.48050532,118734
111231080000.0,4.3287864,125031
11302903000.0,4.491198,125044
10211061000.0,6.4142203,125045
19086310000.0,11.049118,125048
7498398700.0,5.725742,125050
4589733400.0,5.7327666,125055
2256419600.0,4.676832,125056
2588121900.0,2.4016488,125063
5419195000.0,3.2530484,125067
4657907700.0,9.408475,128424
1252121100.0,2.128507,128427
2324367400.0,2.0235567,128429
2580693000.0,4.914648,134879
4551623700.0,5.0419035,134881
2027253800.0,5.59422,140744
5629468700.0,2.9165752,140745
2723083300.0,4.619988,140748
2169541400.0,5.8322635,140749
1832663600.0,33.872604,140751
10014032000.0,5.71296,140753
2246050600.0,3.1638107,140754
4856400400.0,6.24822,140759
2074379100.0,5.4479785,140770
7861875000.0,0.8890901,143906
1151612500.0,6.2089005,143913
2690925000.0,2.464133,143923
38993605000.0,0.16090691,146182
45689467000.0,1.5379835,146183
4328165400.0,2.9258518,146200
1253572900.0,38.080425,146201
4412101600.0,3.775821,146203
5478344700.0,4.733371,146205
3712422700.0,1.9312215,146208
5476265000.0,8.917349,146211
3094716700.0,3.1464808,146212
2047619000.0,2.030846,146218
1135439100.0,2.1716564,146228
2079247400.0,2.055988,146237
1669366400.0,1.286612,146241
285126900000.0,6.4329925,149170
251410380000.0,13.133597,149171
75416035000.0,0.47385028,149173
18573971000.0,12.430705,149178
3144343800.0,3.8148615,149185
1528497700.0,2.403404,149188
10523830000.0,5.291499,149189
3797850400.0,2.1227455,149196
255932760000.0,1.2755613,152032
185906330000.0,2.2720163,152033
8230833000.0,2.723112,152058
3886790400.0,2.5127451,152063
1680935700.0,1.4230415,152067
1081577700.0,1.3944503,152079
318659230000.0,9.027999,154494
55947020000.0,5.0979214,154495
35128090000.0,11.072884,154496
33933402000.0,11.452582,154497
26827821000.0,11.825473,154500
1933569300.0,3.3959231,154512
32988340000.0,25.959171,156816
90212610000.0,0.94290805,158848
26869567000.0,1.3018286,158853
29614967000.0,3.867743,158854
2489289500.0,11.811447,158856
29243910000.0,4.9220552,158858
3974605600.0,4.415008,158859
3158289700.0,6.004153,158860
5303097300.0,3.909678,158864
3272954600.0,4.651499,158871
70078400000.0,3.877507,161165
7662784000.0,2.2387552,161177
5640695000.0,3.56858,161179
3040191000.0,5.525315,161202
100359180000.0,1.1791995,163676
11224359000.0,4.4138393,163678
15519767000.0,3.9359624,163683
319900880000.0,2.3600419,165728
15046911000.0,5.915679,165731
39722734000.0,11.270196,165732
17855300000.0,8.461562,165733
6643113000.0,5.7595654,165736
4706344000.0,3.4913259,165738
3803981600.0,3.8160715,165739
1309584100.0,2.7683303,165787
71820860000.0,1.4165648,168391
39749485000.0,3.4575896,168394
2932231400.0,16.194433,168395
7130218500.0,9.847365,168399
1969071200.0,3.94698,168402
11950682000.0,8.678137,168404
3800385500.0,6.527907,168407
1008749440.0,5.1331472,168450
70282740000.0,2.726402,170542
10179759000.0,6.4368234,170553
302962740000.0,5.3446627,172650
205625740000.0,1.0700773,172651
15249467000.0,2.7980618,172655
11660546000.0,3.780197,172657
20487733000.0,8.736852,172659
19664560000.0,2.6475127,172661
5403949000.0,6.6536,172662
3494890500.0,4.6568313,172663
1072857800.0,3.5054905,172688
1242169000.0,8.96857,172733
254932800000.0,3.0007958,175239
222708650000.0,0.529515,175240
40443840000.0,0.77068496,175241
28974141000.0,6.0134635,175242
50642674000.0,1.2723198,175244
28660177000.0,3.1908276,175245
10710266000.0,2.353247,175247
11542750000.0,6.010181,175248
7249580500.0,8.474952,175249
17551116000.0,13.761935,175251
9205980000.0,2.153681,175253
4922200600.0,2.9897778,175255
4052592400.0,3.7679803,175257
2466630700.0,3.4039142,175258
1111078500.0,2.013676,175260
1216070900.0,38.55743,175261
1257381100.0,7.8704796,175263
1112561700.0,7.292576,175295
15818155000.0,6.6704245,177723
9408005000.0,6.9447465,177724
9143557000.0,8.665343,177726
12500127000.0,2.0838718,177729
12352397000.0,2.6852047,177730
3394218000.0,5.008247,177732
2264786200.0,4.5389953,177733
3493806600.0,5.7415977,177735
6425511000.0,2.6180282,177739
2241428500.0,3.4458904,177740
187350420000.0,3.1870415,179887
60212937000.0,3.2134156,179890
17024475000.0,15.109332,179893
19718988000.0,8.025146,179896
17554743000.0,15.000951,179897
16970853000.0,6.3594728,179898
15052048000.0,11.871122,179902
5407235600.0,4.5475793,179903
7755902000.0,6.1479025,179905
2155013600.0,5.875218,179906
2579417900.0,17.260998,179944
201611700000.0,2.1663258,181984
167436660000.0,1.5371702,181985
44324225000.0,8.599753,181987
31819094000.0,0.9085569,181989
44877470000.0,0.54864633,181990
16637276000.0,10.983441,181994
9629580000.0,9.261092,181995
19150328000.0,6.628904,181996
15630823000.0,10.92607,181997
16743967000.0,6.9364886,181998
1632131700.0,4.9860215,182000
3919933700.0,2.9870822,182001
2306539500.0,19.495314,182004
5671274500.0,2.5992308,182005
187141240000.0,20.984505,184830
31955552000.0,6.993294,184832
22514268000.0,13.613749,184833
42599780000.0,10.201011,184834
27001991000.0,4.2628226,184836
8106213400.0,6.1594286,184838
15092122000.0,4.6676545,184839
7029414000.0,10.495924,184840
12588881000.0,3.615008,184841
3525444600.0,1.517354,184843
7633024500.0,2.652874,184844
1730680700.0,3.1657567,184847
13417812000.0,8.919134,186939
1634647600.0,1.75054,186943
7567101400.0,8.137371,186946
1098089300.0,0.6074457,186955
14413520000.0,1.7856427,188870
7111342000.0,1.9839965,188874
7200508400.0,7.7383947,188878
2339852300.0,2.3947964,188879
15146341000.0,3.1983626,191090
1846519700.0,2.5018733,191100
14151739000.0,5.2590714,192909
10336930000.0,8.022754,192910
12925361000.0,2.9972222,192911
15441129000.0,3.9406886,192912
4980181000.0,4.013496,192913
3464861000.0,3.7436972,192915
2457106200.0,2.539662,192916
1089922700.0,3.998356,192923
19248003000.0,6.9743657,194951
8906028000.0,6.9666533,194955
9026320000.0,3.8217173,194956
7257589000.0,4.800135,194958
7660978700.0,2.904464,194959
1613179400.0,6.307954,194960
1970082600.0,2.3907833,194961
2569154800.0,7.087949,194962
2411910000.0,4.6096015,194965
1063827840.0,11.310894,194967
2136738200.0,2.9011397,194968
1980171400.0,3.1710262,194971
